
Dos 1000 pacotes recebidos:
Pacote #169 <0> OK
Pacote #170 <0> OK
Pacote #171 <0> OK
Pacote #172 <0> OK
Pacote #173 <0> OK
Pacote #174 <0> OK
Pacote #175 <0> OK
Pacote #176 <0> OK
Pacote #177 <0> OK
Pacote #178 <0> OK
Pacote #179 <0> OK
Pacote #180 <0> OK
Pacote #181 <0> OK
Pacote #182 <0> OK
Pacote #183 <0> OK
Pacote #184 <0> OK
Pacote #185 <0> OK
Pacote #186 <0> OK
Pacote #187 <0> OK
Pacote #188 <0> OK
Pacote #189 <0> OK
Pacote #190 <0> OK
Pacote #191 <0> OK
Pacote #192 <0> OK
Pacote #193 <0> OK
Pacote #194 <0> OK
Pacote #195 <0> OK
Pacote #196 <0> OK
Pacote #197 <0> OK
Pacote #198 <0> OK
Pacote #199 <0> OK
Pacote #200 <0> OK
Pacote #201 <0> OK
Pacote #202 <0> OK
Pacote #203 <0> OK
Pacote #204 <0> OK
Pacote #205 <0> OK
Pacote #206 <0> OK
Pacote #207 <0> OK
Pacote #208 <0> OK
Pacote #209 <0> OK
Pacote #210 <0> OK
Pacote #211 <0> OK
Pacote #212 <0> OK
Pacote #213 <0> OK
Pacote #214 <0> OK
Pacote #215 <0> OK
Pacote #216 <0> OK
Pacote #217 <0> OK
Pacote #218 <0> OK
Pacote #219 <0> OK
Pacote #220 <0> OK
Pacote #221 <0> OK
Pacote #222 <0> OK
Pacote #223 <0> OK
Pacote #224 <0> OK
Pacote #225 <0> OK
Pacote #226 <0> OK
Pacote #227 <0> OK
Pacote #228 <0> OK
Pacote #229 <0> OK
Pacote #230 <0> OK
Pacote #231 <0> OK
Pacote #232 <0> OK
Pacote #233 <0> OK
Pacote #234 <0> OK
Pacote #235 <0> OK
Pacote #236 <0> OK
Pacote #237 <0> OK
Pacote #238 <0> OK
Pacote #239 <0> OK
Pacote #240 <0> OK
Pacote #241 <0> OK
Pacote #242 <0> OK
Pacote #243 <0> OK
Pacote #244 <0> OK
Pacote #245 <0> OK
Pacote #246 <0> OK
Pacote #247 <0> OK
Pacote #248 <0> OK
Pacote #249 <0> OK
Pacote #250 <0> OK
Pacote #251 <0> OK
Pacote #252 <0> OK
Pacote #253 <0> OK
Pacote #254 <0> OK
Pacote #255 <0> OK
Pacote #256 <0> OK
Pacote #257 <0> OK
Pacote #258 <0> OK
Pacote #259 <0> OK
Pacote #260 <0> OK
Pacote #261 <0> OK
Pacote #262 <0> OK
Pacote #263 <0> OK
Pacote #264 <0> OK
Pacote #265 <0> OK
Pacote #266 <0> OK
Pacote #267 <0> OK
Pacote #268 <0> OK
Pacote #269 <0> OK
Pacote #270 <0> OK
Pacote #271 <0> OK
Pacote #272 <0> OK
Pacote #273 <0> OK
Pacote #274 <0> OK
Pacote #275 <0> OK
Pacote #276 <0> OK
Pacote #277 <0> OK
Pacote #278 <0> OK
Pacote #279 <0> OK
Pacote #280 <0> OK
Pacote #281 <0> OK
Pacote #282 <0> OK
Pacote #283 <0> OK
Pacote #284 <0> OK
Pacote #285 <0> OK
Pacote #286 <0> OK
Pacote #287 <0> OK
Pacote #288 <0> OK
Pacote #289 <0> OK
Pacote #290 <0> OK
Pacote #291 <0> OK
Pacote #292 <0> OK
Pacote #293 <0> OK
Pacote #294 <0> OK
Pacote #295 <0> OK
Pacote #296 <0> OK
Pacote #297 <0> OK
Pacote #298 <0> OK
Pacote #299 <0> OK
Pacote #300 <0> OK
Pacote #301 <0> OK
Pacote #302 <0> OK
Pacote #303 <0> OK
Pacote #304 <0> OK
Pacote #305 <0> OK
Pacote #306 <0> OK
Pacote #307 <0> OK
Pacote #308 <0> OK
Pacote #309 <0> OK
Pacote #310 <0> OK
Pacote #311 <0> OK
Pacote #312 <0> OK
Pacote #313 <0> OK
Pacote #314 <0> OK
Pacote #315 <0> OK
Pacote #316 <0> OK
Pacote #317 <0> OK
Pacote #318 <0> OK
Pacote #319 <0> OK
Pacote #320 <0> OK
Pacote #321 <0> OK
Pacote #322 <0> OK
Pacote #323 <0> OK
Pacote #324 <0> OK
Pacote #325 <0> OK
Pacote #326 <0> OK
Pacote #327 <0> OK
Pacote #328 <0> OK
Pacote #329 <0> OK
Pacote #330 <0> OK
Pacote #331 <0> OK
Pacote #332 <0> OK
Pacote #333 <0> OK
Pacote #334 <0> OK
Pacote #335 <0> OK
Pacote #336 <0> OK
Pacote #337 <0> OK
Pacote #338 <0> OK
Pacote #339 <0> OK
Pacote #340 <0> OK
Pacote #341 <0> OK
Pacote #342 <0> OK
Pacote #343 <0> OK
Pacote #344 <0> OK
Pacote #345 <0> OK
Pacote #346 <0> OK
Pacote #347 <0> OK
Pacote #348 <0> OK
Pacote #349 <0> OK
Pacote #350 <0> OK
Pacote #351 <0> OK
Pacote #352 <0> OK
Pacote #353 <0> OK
Pacote #354 <0> OK
Pacote #355 <0> OK
Pacote #356 <0> OK
Pacote #357 <0> OK
Pacote #358 <0> OK
Pacote #359 <0> OK
Pacote #360 <0> OK
Pacote #361 <0> OK
Pacote #362 <0> OK
Pacote #363 <0> OK
Pacote #364 <0> OK
Pacote #365 <0> OK
Pacote #366 <0> OK
Pacote #367 <0> OK
Pacote #368 <0> OK
Pacote #369 <0> OK
Pacote #370 <0> OK
Pacote #371 <0> OK
Pacote #372 <0> OK
Pacote #373 <0> OK
Pacote #374 <0> OK
Pacote #375 <0> OK
Pacote #376 <0> OK
Pacote #377 <0> OK
Pacote #378 <0> OK
Pacote #379 <0> OK
Pacote #380 <0> OK
Pacote #381 <0> OK
Pacote #382 <0> OK
Pacote #383 <0> OK
Pacote #384 <0> OK
Pacote #385 <0> OK
Pacote #386 <0> OK
Pacote #387 <0> OK
Pacote #388 <0> OK
Pacote #389 <0> OK
Pacote #390 <0> OK
Pacote #391 <0> OK
Pacote #392 <0> OK
Pacote #393 <0> OK
Pacote #394 <0> OK
Pacote #395 <0> OK
Pacote #396 <0> OK
Pacote #397 <0> OK
Pacote #398 <0> OK
Pacote #399 <0> OK
Pacote #400 <0> OK
Pacote #401 <0> OK
Pacote #402 <0> OK
Pacote #403 <0> OK
Pacote #404 <0> OK
Pacote #405 <0> OK
Pacote #406 <0> OK
Pacote #407 <0> OK
Pacote #408 <0> OK
Pacote #409 <0> OK
Pacote #410 <0> OK
Pacote #411 <0> OK
Pacote #412 <2> Perdido
Pacote #413 <2> Perdido
Pacote #414 <2> Perdido
Pacote #415 <2> Perdido
Pacote #416 <3> Fora de ordem adiantado: pulou [12] pacotes
Pacote #417 <0> OK
Pacote #418 <0> OK
Pacote #419 <0> OK
Pacote #420 <0> OK
Pacote #421 <0> OK
Pacote #422 <0> OK
Pacote #423 <0> OK
Pacote #424 <0> OK
Pacote #425 <0> OK
Pacote #426 <0> OK
Pacote #427 <0> OK
Pacote #428 <0> OK
Pacote #429 <0> OK
Pacote #430 <0> OK
Pacote #431 <0> OK
Pacote #432 <0> OK
Pacote #433 <0> OK
Pacote #434 <0> OK
Pacote #435 <0> OK
Pacote #436 <0> OK
Pacote #437 <0> OK
Pacote #438 <0> OK
Pacote #439 <0> OK
Pacote #440 <0> OK
Pacote #441 <0> OK
Pacote #442 <0> OK
Pacote #443 <0> OK
Pacote #444 <0> OK
Pacote #445 <0> OK
Pacote #446 <0> OK
Pacote #447 <0> OK
Pacote #448 <0> OK
Pacote #449 <0> OK
Pacote #450 <0> OK
Pacote #451 <0> OK
Pacote #452 <0> OK
Pacote #453 <0> OK
Pacote #454 <0> OK
Pacote #455 <0> OK
Pacote #456 <0> OK
Pacote #457 <0> OK
Pacote #458 <0> OK
Pacote #459 <0> OK
Pacote #460 <0> OK
Pacote #461 <0> OK
Pacote #462 <0> OK
Pacote #463 <0> OK
Pacote #464 <0> OK
Pacote #465 <0> OK
Pacote #466 <0> OK
Pacote #467 <0> OK
Pacote #468 <0> OK
Pacote #469 <0> OK
Pacote #470 <0> OK
Pacote #471 <0> OK
Pacote #472 <0> OK
Pacote #473 <0> OK
Pacote #474 <0> OK
Pacote #475 <0> OK
Pacote #476 <0> OK
Pacote #477 <0> OK
Pacote #478 <0> OK
Pacote #479 <0> OK
Pacote #480 <0> OK
Pacote #481 <0> OK
Pacote #482 <0> OK
Pacote #483 <0> OK
Pacote #484 <0> OK
Pacote #485 <0> OK
Pacote #486 <0> OK
Pacote #487 <0> OK
Pacote #488 <0> OK
Pacote #489 <0> OK
Pacote #490 <0> OK
Pacote #491 <0> OK
Pacote #492 <0> OK
Pacote #493 <0> OK
Pacote #494 <0> OK
Pacote #495 <0> OK
Pacote #496 <0> OK
Pacote #497 <0> OK
Pacote #498 <0> OK
Pacote #499 <0> OK
Pacote #500 <0> OK
Pacote #501 <0> OK
Pacote #502 <0> OK
Pacote #503 <0> OK
Pacote #504 <0> OK
Pacote #505 <0> OK
Pacote #506 <0> OK
Pacote #507 <0> OK
Pacote #508 <0> OK
Pacote #509 <0> OK
Pacote #510 <0> OK
Pacote #511 <0> OK
Pacote #512 <0> OK
Pacote #513 <0> OK
Pacote #514 <0> OK
Pacote #515 <0> OK
Pacote #516 <0> OK
Pacote #517 <0> OK
Pacote #518 <2> Perdido
Pacote #519 <2> Perdido
Pacote #520 <2> Perdido
Pacote #521 <2> Perdido
Pacote #522 <2> Perdido
Pacote #523 <2> Perdido
Pacote #524 <2> Perdido
Pacote #525 <2> Perdido
Pacote #526 <2> Perdido
Pacote #527 <2> Perdido
Pacote #528 <2> Perdido
Pacote #529 <2> Perdido
Pacote #530 <2> Perdido
Pacote #531 <2> Perdido
Pacote #532 <2> Perdido
Pacote #533 <2> Perdido
Pacote #534 <2> Perdido
Pacote #535 <2> Perdido
Pacote #536 <2> Perdido
Pacote #537 <2> Perdido
Pacote #538 <2> Perdido
Pacote #539 <2> Perdido
Pacote #540 <2> Perdido
Pacote #541 <2> Perdido
Pacote #542 <2> Perdido
Pacote #543 <2> Perdido
Pacote #544 <2> Perdido
Pacote #545 <2> Perdido
Pacote #546 <2> Perdido
Pacote #547 <2> Perdido
Pacote #548 <2> Perdido
Pacote #549 <2> Perdido
Pacote #550 <2> Perdido
Pacote #551 <2> Perdido
Pacote #552 <3> Fora de ordem adiantado: pulou [66] pacotes
Pacote #553 <0> OK
Pacote #554 <0> OK
Pacote #555 <0> OK
Pacote #556 <0> OK
Pacote #557 <0> OK
Pacote #558 <0> OK
Pacote #559 <0> OK
Pacote #560 <0> OK
Pacote #561 <0> OK
Pacote #562 <0> OK
Pacote #563 <0> OK
Pacote #564 <0> OK
Pacote #565 <0> OK
Pacote #566 <0> OK
Pacote #567 <0> OK
Pacote #568 <0> OK
Pacote #569 <0> OK
Pacote #570 <0> OK
Pacote #571 <0> OK
Pacote #572 <0> OK
Pacote #573 <0> OK
Pacote #574 <0> OK
Pacote #575 <0> OK
Pacote #576 <0> OK
Pacote #577 <0> OK
Pacote #578 <0> OK
Pacote #579 <0> OK
Pacote #580 <0> OK
Pacote #581 <0> OK
Pacote #582 <0> OK
Pacote #583 <0> OK
Pacote #584 <0> OK
Pacote #585 <0> OK
Pacote #586 <0> OK
Pacote #587 <0> OK
Pacote #588 <0> OK
Pacote #589 <0> OK
Pacote #590 <0> OK
Pacote #591 <0> OK
Pacote #592 <0> OK
Pacote #593 <0> OK
Pacote #594 <0> OK
Pacote #595 <0> OK
Pacote #596 <0> OK
Pacote #597 <0> OK
Pacote #598 <0> OK
Pacote #599 <0> OK
Pacote #600 <0> OK
Pacote #601 <0> OK
Pacote #602 <0> OK
Pacote #603 <0> OK
Pacote #604 <0> OK
Pacote #605 <0> OK
Pacote #606 <0> OK
Pacote #607 <0> OK
Pacote #608 <0> OK
Pacote #609 <0> OK
Pacote #610 <0> OK
Pacote #611 <0> OK
Pacote #612 <0> OK
Pacote #613 <0> OK
Pacote #614 <0> OK
Pacote #615 <0> OK
Pacote #616 <0> OK
Pacote #617 <0> OK
Pacote #618 <0> OK
Pacote #619 <0> OK
Pacote #620 <0> OK
Pacote #621 <0> OK
Pacote #622 <0> OK
Pacote #623 <0> OK
Pacote #624 <0> OK
Pacote #625 <0> OK
Pacote #626 <0> OK
Pacote #627 <0> OK
Pacote #628 <0> OK
Pacote #629 <0> OK
Pacote #630 <0> OK
Pacote #631 <0> OK
Pacote #632 <0> OK
Pacote #633 <0> OK
Pacote #634 <0> OK
Pacote #635 <0> OK
Pacote #636 <0> OK
Pacote #637 <0> OK
Pacote #638 <0> OK
Pacote #639 <0> OK
Pacote #640 <0> OK
Pacote #641 <0> OK
Pacote #642 <0> OK
Pacote #643 <0> OK
Pacote #644 <0> OK
Pacote #645 <0> OK
Pacote #646 <0> OK
Pacote #647 <0> OK
Pacote #648 <0> OK
Pacote #649 <0> OK
Pacote #650 <0> OK
Pacote #651 <0> OK
Pacote #652 <0> OK
Pacote #653 <0> OK
Pacote #654 <0> OK
Pacote #655 <0> OK
Pacote #656 <0> OK
Pacote #657 <2> Perdido
Pacote #658 <2> Perdido
Pacote #659 <2> Perdido
Pacote #660 <2> Perdido
Pacote #661 <2> Perdido
Pacote #662 <2> Perdido
Pacote #663 <2> Perdido
Pacote #664 <2> Perdido
Pacote #665 <2> Perdido
Pacote #666 <2> Perdido
Pacote #667 <2> Perdido
Pacote #668 <2> Perdido
Pacote #669 <2> Perdido
Pacote #670 <2> Perdido
Pacote #671 <2> Perdido
Pacote #672 <2> Perdido
Pacote #673 <2> Perdido
Pacote #674 <2> Perdido
Pacote #675 <2> Perdido
Pacote #676 <2> Perdido
Pacote #677 <2> Perdido
Pacote #678 <2> Perdido
Pacote #679 <2> Perdido
Pacote #680 <2> Perdido
Pacote #681 <2> Perdido
Pacote #682 <2> Perdido
Pacote #683 <2> Perdido
Pacote #684 <2> Perdido
Pacote #685 <2> Perdido
Pacote #686 <2> Perdido
Pacote #687 <2> Perdido
Pacote #688 <2> Perdido
Pacote #689 <2> Perdido
Pacote #690 <2> Perdido
Pacote #691 <2> Perdido
Pacote #692 <2> Perdido
Pacote #693 <2> Perdido
Pacote #694 <2> Perdido
Pacote #695 <2> Perdido
Pacote #696 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #697 <0> OK
Pacote #698 <0> OK
Pacote #699 <0> OK
Pacote #700 <0> OK
Pacote #701 <0> OK
Pacote #702 <0> OK
Pacote #703 <0> OK
Pacote #704 <0> OK
Pacote #705 <0> OK
Pacote #706 <0> OK
Pacote #707 <0> OK
Pacote #708 <0> OK
Pacote #709 <0> OK
Pacote #710 <0> OK
Pacote #711 <0> OK
Pacote #712 <0> OK
Pacote #713 <0> OK
Pacote #714 <0> OK
Pacote #715 <0> OK
Pacote #716 <0> OK
Pacote #717 <0> OK
Pacote #718 <0> OK
Pacote #719 <0> OK
Pacote #720 <0> OK
Pacote #721 <0> OK
Pacote #722 <0> OK
Pacote #723 <0> OK
Pacote #724 <0> OK
Pacote #725 <0> OK
Pacote #726 <0> OK
Pacote #727 <0> OK
Pacote #728 <0> OK
Pacote #729 <0> OK
Pacote #730 <0> OK
Pacote #731 <0> OK
Pacote #732 <0> OK
Pacote #733 <0> OK
Pacote #734 <0> OK
Pacote #735 <0> OK
Pacote #736 <0> OK
Pacote #737 <0> OK
Pacote #738 <0> OK
Pacote #739 <0> OK
Pacote #740 <0> OK
Pacote #741 <0> OK
Pacote #742 <0> OK
Pacote #743 <0> OK
Pacote #744 <0> OK
Pacote #745 <0> OK
Pacote #746 <0> OK
Pacote #747 <0> OK
Pacote #748 <0> OK
Pacote #749 <0> OK
Pacote #750 <0> OK
Pacote #751 <0> OK
Pacote #752 <0> OK
Pacote #753 <0> OK
Pacote #754 <0> OK
Pacote #755 <0> OK
Pacote #756 <0> OK
Pacote #757 <0> OK
Pacote #758 <0> OK
Pacote #759 <0> OK
Pacote #760 <0> OK
Pacote #761 <0> OK
Pacote #762 <0> OK
Pacote #763 <0> OK
Pacote #764 <0> OK
Pacote #765 <0> OK
Pacote #766 <0> OK
Pacote #767 <0> OK
Pacote #768 <0> OK
Pacote #769 <0> OK
Pacote #770 <0> OK
Pacote #771 <0> OK
Pacote #772 <0> OK
Pacote #773 <0> OK
Pacote #774 <0> OK
Pacote #775 <0> OK
Pacote #776 <0> OK
Pacote #777 <0> OK
Pacote #778 <0> OK
Pacote #779 <0> OK
Pacote #780 <0> OK
Pacote #781 <0> OK
Pacote #782 <0> OK
Pacote #783 <0> OK
Pacote #784 <0> OK
Pacote #785 <0> OK
Pacote #786 <0> OK
Pacote #787 <0> OK
Pacote #788 <0> OK
Pacote #789 <0> OK
Pacote #790 <0> OK
Pacote #791 <0> OK
Pacote #792 <0> OK
Pacote #793 <0> OK
Pacote #794 <0> OK
Pacote #795 <0> OK
Pacote #796 <0> OK
Pacote #797 <0> OK
Pacote #798 <0> OK
Pacote #799 <0> OK
Pacote #800 <0> OK
Pacote #801 <0> OK
Pacote #802 <0> OK
Pacote #803 <0> OK
Pacote #804 <0> OK
Pacote #805 <0> OK
Pacote #806 <2> Perdido
Pacote #807 <2> Perdido
Pacote #808 <2> Perdido
Pacote #809 <2> Perdido
Pacote #810 <2> Perdido
Pacote #811 <2> Perdido
Pacote #812 <2> Perdido
Pacote #813 <2> Perdido
Pacote #814 <2> Perdido
Pacote #815 <2> Perdido
Pacote #816 <2> Perdido
Pacote #817 <2> Perdido
Pacote #818 <2> Perdido
Pacote #819 <2> Perdido
Pacote #820 <2> Perdido
Pacote #821 <2> Perdido
Pacote #822 <2> Perdido
Pacote #823 <2> Perdido
Pacote #824 <2> Perdido
Pacote #825 <2> Perdido
Pacote #826 <2> Perdido
Pacote #827 <2> Perdido
Pacote #828 <2> Perdido
Pacote #829 <2> Perdido
Pacote #830 <2> Perdido
Pacote #831 <2> Perdido
Pacote #832 <3> Fora de ordem adiantado: pulou [66] pacotes
Pacote #833 <0> OK
Pacote #834 <0> OK
Pacote #835 <0> OK
Pacote #836 <0> OK
Pacote #837 <0> OK
Pacote #838 <0> OK
Pacote #839 <0> OK
Pacote #840 <0> OK
Pacote #841 <0> OK
Pacote #842 <0> OK
Pacote #843 <0> OK
Pacote #844 <0> OK
Pacote #845 <0> OK
Pacote #846 <0> OK
Pacote #847 <0> OK
Pacote #848 <0> OK
Pacote #849 <0> OK
Pacote #850 <0> OK
Pacote #851 <0> OK
Pacote #852 <0> OK
Pacote #853 <0> OK
Pacote #854 <0> OK
Pacote #855 <0> OK
Pacote #856 <0> OK
Pacote #857 <0> OK
Pacote #858 <0> OK
Pacote #859 <0> OK
Pacote #860 <0> OK
Pacote #861 <0> OK
Pacote #862 <0> OK
Pacote #863 <0> OK
Pacote #864 <0> OK
Pacote #865 <0> OK
Pacote #866 <0> OK
Pacote #867 <0> OK
Pacote #868 <0> OK
Pacote #869 <0> OK
Pacote #870 <0> OK
Pacote #871 <0> OK
Pacote #872 <0> OK
Pacote #873 <0> OK
Pacote #874 <0> OK
Pacote #875 <0> OK
Pacote #876 <0> OK
Pacote #877 <0> OK
Pacote #878 <0> OK
Pacote #879 <0> OK
Pacote #880 <0> OK
Pacote #881 <0> OK
Pacote #882 <0> OK
Pacote #883 <0> OK
Pacote #884 <0> OK
Pacote #885 <0> OK
Pacote #886 <0> OK
Pacote #887 <0> OK
Pacote #888 <0> OK
Pacote #889 <0> OK
Pacote #890 <0> OK
Pacote #891 <0> OK
Pacote #892 <0> OK
Pacote #893 <0> OK
Pacote #894 <0> OK
Pacote #895 <0> OK
Pacote #896 <0> OK
Pacote #897 <0> OK
Pacote #898 <0> OK
Pacote #899 <0> OK
Pacote #900 <0> OK
Pacote #901 <0> OK
Pacote #902 <0> OK
Pacote #903 <0> OK
Pacote #904 <0> OK
Pacote #905 <0> OK
Pacote #906 <0> OK
Pacote #907 <0> OK
Pacote #908 <0> OK
Pacote #909 <0> OK
Pacote #910 <0> OK
Pacote #911 <0> OK
Pacote #912 <0> OK
Pacote #913 <0> OK
Pacote #914 <0> OK
Pacote #915 <0> OK
Pacote #916 <0> OK
Pacote #917 <0> OK
Pacote #918 <0> OK
Pacote #919 <0> OK
Pacote #920 <0> OK
Pacote #921 <0> OK
Pacote #922 <0> OK
Pacote #923 <0> OK
Pacote #924 <0> OK
Pacote #925 <0> OK
Pacote #926 <0> OK
Pacote #927 <0> OK
Pacote #928 <0> OK
Pacote #929 <0> OK
Pacote #930 <0> OK
Pacote #931 <0> OK
Pacote #932 <0> OK
Pacote #933 <0> OK
Pacote #934 <0> OK
Pacote #935 <0> OK
Pacote #936 <0> OK
Pacote #937 <0> OK
Pacote #938 <0> OK
Pacote #939 <0> OK
Pacote #940 <0> OK
Pacote #941 <0> OK
Pacote #942 <0> OK
Pacote #943 <2> Perdido
Pacote #944 <2> Perdido
Pacote #945 <2> Perdido
Pacote #946 <2> Perdido
Pacote #947 <2> Perdido
Pacote #948 <2> Perdido
Pacote #949 <2> Perdido
Pacote #950 <2> Perdido
Pacote #951 <2> Perdido
Pacote #952 <2> Perdido
Pacote #953 <2> Perdido
Pacote #954 <2> Perdido
Pacote #955 <2> Perdido
Pacote #956 <2> Perdido
Pacote #957 <2> Perdido
Pacote #958 <2> Perdido
Pacote #959 <2> Perdido
Pacote #960 <2> Perdido
Pacote #961 <2> Perdido
Pacote #962 <2> Perdido
Pacote #963 <2> Perdido
Pacote #964 <2> Perdido
Pacote #965 <2> Perdido
Pacote #966 <2> Perdido
Pacote #967 <2> Perdido
Pacote #968 <2> Perdido
Pacote #969 <2> Perdido
Pacote #970 <2> Perdido
Pacote #971 <2> Perdido
Pacote #972 <2> Perdido
Pacote #973 <2> Perdido
Pacote #974 <2> Perdido
Pacote #975 <2> Perdido
Pacote #976 <3> Fora de ordem adiantado: pulou [74] pacotes
Pacote #977 <0> OK
Pacote #978 <0> OK
Pacote #979 <0> OK
Pacote #980 <0> OK
Pacote #981 <0> OK
Pacote #982 <0> OK
Pacote #983 <0> OK
Pacote #984 <0> OK
Pacote #985 <0> OK
Pacote #986 <0> OK
Pacote #987 <0> OK
Pacote #988 <0> OK
Pacote #989 <0> OK
Pacote #990 <0> OK
Pacote #991 <0> OK
Pacote #992 <0> OK
Pacote #993 <0> OK
Pacote #994 <0> OK
Pacote #995 <0> OK
Pacote #996 <0> OK
Pacote #997 <0> OK
Pacote #998 <0> OK
Pacote #999 <0> OK
